AREA_SQMI,COUNTY,GEOM.coordinates,GEOM.type,ID_BLOCK,ID_BLOCK_CODE,ID_EBD_NAME,ID_NCBA_BLOCK,ID_OLD_ID,ID_S123_NOSPACES,ID_S123_NOSPACES_TEMP,ID_S123_SPACES,ID_S123_SPACES_TEMP,ID_WEB_BLOCKMAP,NW_X,NW_Y,POSITION,PRIORITY,QUADID,QUAD_BLOCK,QUAD_NAME,REGION,SE_X,SE_Y,SUBNAT2,TYPE,_id
10.15233891,MONTGOMERY,"[[[-79.93750898,35.25002073],[-79.93750898,35.20835398],[-79.87500871,35.20835398],[-79.87500871,35.25002073],[-79.93750898,35.25002073]]]",Polygon,MOUNT GILEAD EAST-NE,35079B8NE,Mount Gilead East NE,MOUNT_GILEAD_EAST-NE,Mount-Gilead-East-NE,Mount_Gilead_East_NE,Mount_Gilead_East_NE,Mount Gilead East NE,Mount Gilead East NE,Mount Gilead East NE,-79.93750898,35.25002073,Inside,0,35079b8,NE,MOUNT GILEAD EAST,6,-79.87500871,35.20835398,US-NC-123,Non-priority,35079B8NE
10.15223789,MONTGOMERY,"[[[-80.00000903,35.2500207],[-80.00000903,35.20835397],[-79.93750871,35.20835397],[-79.93750871,35.2500207],[-80.00000903,35.2500207]]]",Polygon,MOUNT GILEAD EAST-NW,35079B8NW,Mount Gilead East NW,MOUNT_GILEAD_EAST-NW,Mount-Gilead-East-NW,Mount_Gilead_East_NW,Mount_Gilead_East_NW,Mount Gilead East NW,Mount Gilead East NW,Mount Gilead East NW,-80.00000903,35.2500207,Inside,0,35079b8,NW,MOUNT GILEAD EAST,6,-79.93750871,35.20835397,US-NC-123,Non-priority,35079B8NW
10.1626043,RICHMOND,"[[[-79.9375087,35.16668728],[-79.9375087,35.12502052],[-79.87500858,35.12502052],[-79.87500858,35.16668728],[-79.9375087,35.16668728]]]",Polygon,MOUNT GILEAD EAST-SE,35079B8SE,Mount Gilead East SE,MOUNT_GILEAD_EAST-SE,Mount-Gilead-East-SE,Mount_Gilead_East_SE,Mount_Gilead_East_SE,Mount Gilead East SE,Mount Gilead East SE,Mount Gilead East SE,-79.9375087,35.16668728,Inside,1,35079b8,SE,MOUNT GILEAD EAST,6,-79.87500858,35.12502052,US-NC-153,Priority,35079B8SE
10.16260162,RICHMOND,"[[[-80.00000886,35.16668723],[-80.00000886,35.12502052],[-79.9375087,35.12502052],[-79.9375087,35.16668723],[-80.00000886,35.16668723]]]",Polygon,MOUNT GILEAD EAST-SW,35079B8SW,Mount Gilead East SW,MOUNT_GILEAD_EAST-SW,Mount-Gilead-East-SW,Mount_Gilead_East_SW,Mount_Gilead_East_SW,Mount Gilead East SW,Mount Gilead East SW,Mount Gilead East SW,-80.00000886,35.16668723,Inside,0,35079b8,SW,MOUNT GILEAD EAST,6,-79.9375087,35.12502052,US-NC-153,Non-priority,35079B8SW
10.15752954,MONTGOMERY,"[[[-80.06250916,35.20835397],[-80.06250916,35.16668722],[-80.00000881,35.16668722],[-80.00000881,35.20835397],[-80.06250916,35.20835397]]]",Polygon,MOUNT GILEAD WEST-CE,35080B1CE,Mount Gilead West CE,MOUNT_GILEAD_WEST-CE,Mount-Gilead-West-CE,Mount_Gilead_West_CE,Mount_Gilead_West_CE,Mount Gilead West CE,Mount Gilead West CE,Mount Gilead West CE,-80.06250916,35.20835397,Inside,0,35080b1,CE,MOUNT GILEAD WEST,6,-80.00000881,35.16668722,US-NC-123,Non-priority,35080B1CE
10.15750212,STANLY,"[[[-80.12500938,35.20835403],[-80.12500938,35.16668722],[-80.06250916,35.16668722],[-80.06250916,35.20835403],[-80.12500938,35.20835403]]]",Polygon,MOUNT GILEAD WEST-CW,35080B1CW,Mount Gilead West CW,MOUNT_GILEAD_WEST-CW,Mount-Gilead-West-CW,Mount_Gilead_West_CW,Mount_Gilead_West_CW,Mount Gilead West CW,Mount Gilead West CW,Mount Gilead West CW,-80.12500938,35.20835403,Inside,0,35080b1,CW,MOUNT GILEAD WEST,6,-80.06250916,35.16668722,US-NC-167,Non-priority,35080B1CW
10.15203769,MONTGOMERY,"[[[-80.06250916,35.25001978],[-80.06250916,35.20835397],[-80.00000881,35.20835397],[-80.00000881,35.25001978],[-80.06250916,35.25001978]]]",Polygon,MOUNT GILEAD WEST-NE,35080B1NE,Mount Gilead West NE,MOUNT_GILEAD_WEST-NE,Mount-Gilead-West-NE,Mount_Gilead_West_NE,Mount_Gilead_West_NE,Mount Gilead West NE,Mount Gilead West NE,Mount Gilead West NE,-80.06250916,35.25001978,Inside,0,35080b1,NE,MOUNT GILEAD WEST,6,-80.00000881,35.20835397,US-NC-123,Non-priority,35080B1NE
10.1519172,STANLY,"[[[-80.12500938,35.25001887],[-80.12500938,35.20835397],[-80.0625091,35.20835397],[-80.0625091,35.25001887],[-80.12500938,35.25001887]]]",Polygon,MOUNT GILEAD WEST-NW,35080B1NW,Mount Gilead West NW,MOUNT_GILEAD_WEST-NW,Mount-Gilead-West-NW,Mount_Gilead_West_NW,Mount_Gilead_West_NW,Mount Gilead West NW,Mount Gilead West NW,Mount Gilead West NW,-80.12500938,35.25001887,Inside,0,35080b1,NW,MOUNT GILEAD WEST,6,-80.0625091,35.20835397,US-NC-167,Non-priority,35080B1NW
10.16260186,MONTGOMERY,"[[[-80.06250916,35.16668722],[-80.06250916,35.12502064],[-80.00000881,35.12502064],[-80.00000881,35.16668722],[-80.06250916,35.16668722]]]",Polygon,MOUNT GILEAD WEST-SE,35080B1SE,Mount Gilead West SE,MOUNT_GILEAD_WEST-SE,Mount-Gilead-West-SE,Mount_Gilead_West_SE,Mount_Gilead_West_SE,Mount Gilead West SE,Mount Gilead West SE,Mount Gilead West SE,-80.06250916,35.16668722,Inside,1,35080b1,SE,MOUNT GILEAD WEST,6,-80.00000881,35.12502064,US-NC-123,Priority,35080B1SE
10.16257116,ANSON,"[[[-80.12500938,35.16668732],[-80.12500938,35.12502077],[-80.06250916,35.12502077],[-80.06250916,35.16668732],[-80.12500938,35.16668732]]]",Polygon,MOUNT GILEAD WEST-SW,35080B1SW,Mount Gilead West SW,MOUNT_GILEAD_WEST-SW,Mount-Gilead-West-SW,Mount_Gilead_West_SW,Mount_Gilead_West_SW,Mount Gilead West SW,Mount Gilead West SW,Mount Gilead West SW,-80.12500938,35.16668732,Inside,0,35080b1,SW,MOUNT GILEAD WEST,6,-80.06250916,35.12502077,US-NC-007,Non-priority,35080B1SW
